;country;description;designation;points;price;region_1;taster_name;title;variety;winery
25;US;"['[', ""'Oak"", ""'"", ',', ""'earth"", ""'"", ',', ""'intermingle"", ""'"", ',', ""'around"", ""'"", ',', ""'robust"", ""'"", ',', ""'aromas"", ""'"", ',', ""'wet"", ""'"", ',', ""'forest"", ""'"", ',', ""'floor"", ""'"", ',', ""'vineyard-designated"", ""'"", ',', ""'Pinot"", ""'"", ',', ""'hails"", ""'"", ',', ""'high-elevation"", ""'"", ',', ""'site"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Small"", ""'"", ',', ""'production"", ""'"", ',', ""'"", ',', ""'"", ',', ""'offers"", ""'"", ',', ""'intense"", ""'"", ',', ""'"", ',', ""'"", ',', ""'full-bodied"", ""'"", ',', ""'raspberry"", ""'"", ',', ""'blackberry"", ""'"", ',', ""'steeped"", ""'"", ',', ""'smoky"", ""'"", ',', ""'spice"", ""'"", ',', ""'smooth"", ""'"", ',', ""'texture"", ""'"", ',', ""'"", '.', ""'"", ']']";King Ridge Vineyard;87;69.0;Sonoma Coast;Virginie Boone;Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast);Pinot Noir;Castello di Amorosa
26;Italy;"['[', ""'Pretty"", ""'"", ',', ""'aromas"", ""'"", ',', ""'yellow"", ""'"", ',', ""'flower"", ""'"", ',', ""'stone"", ""'"", ',', ""'fruit"", ""'"", ',', ""'lead"", ""'"", ',', ""'nose"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'bright"", ""'"", ',', ""'palate"", ""'"", ',', ""'offers"", ""'"", ',', ""'yellow"", ""'"", ',', ""'apple"", ""'"", ',', ""'"", ',', ""'"", ',', ""'apricot"", ""'"", ',', ""'"", ',', ""'"", ',', ""'vanilla"", ""'"", ',', ""'delicate"", ""'"", ',', ""'notes"", ""'"", ',', ""'lightly"", ""'"", ',', ""'toasted"", ""'"", ',', ""'oak"", ""'"", ',', ""'alongside"", ""'"", ',', ""'crisp"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ']']";Dalila;87;13.0;Terre Siciliane;Kerin O’Keefe;Stemmari 2013 Dalila White (Terre Siciliane);White Blend;Stemmari
27;Italy;"['[', ""'Aromas"", ""'"", ',', ""'recall"", ""'"", ',', ""'ripe"", ""'"", ',', ""'dark"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'toast"", ""'"", ',', ""'whiff"", ""'"", ',', ""'cake"", ""'"", ',', ""'spice"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'soft"", ""'"", ',', ""'"", ',', ""'"", ',', ""'informal"", ""'"", ',', ""'palate"", ""'"", ',', ""'offers"", ""'"", ',', ""'sour"", ""'"", ',', ""'cherry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'vanilla"", ""'"", ',', ""'hint"", ""'"", ',', ""'espresso"", ""'"", ',', ""'alongside"", ""'"", ',', ""'round"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Drink"", ""'"", ',', ""'soon"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;10.0;Terre Siciliane;Kerin O’Keefe;Stemmari 2013 Nero d'Avola (Terre Siciliane);Nero d'Avola;Stemmari
28;Italy;"['[', ""'Aromas"", ""'"", ',', ""'suggest"", ""'"", ',', ""'mature"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'scorched"", ""'"", ',', ""'earth"", ""'"", ',', ""'"", ',', ""'"", ',', ""'animal"", ""'"", ',', ""'"", ',', ""'"", ',', ""'toast"", ""'"", ',', ""'anise"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'offers"", ""'"", ',', ""'ripe"", ""'"", ',', ""'black"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'oak"", ""'"", ',', ""'"", ',', ""'"", ',', ""'espresso"", ""'"", ',', ""'"", ',', ""'"", ',', ""'cocoa"", ""'"", ',', ""'vanilla"", ""'"", ',', ""'alongside"", ""'"", ',', ""'dusty"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", '.', ""'"", ']']";Mascaria Barricato;87;17.0;Cerasuolo di Vittoria;Kerin O’Keefe;Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria);Red Blend;Terre di Giurfo
29;US;"['[', ""'Clarksburg"", ""'"", ',', ""'becoming"", ""'"", ',', ""'Chenin"", ""'"", ',', ""'Blanc"", ""'"", ',', ""'California"", ""'"", ',', ""'"", '.', ""'"", ',', ""'This"", ""'"", ',', ""'bottling"", ""'"", ',', ""'"", ',', ""'"", ',', ""'using"", ""'"", ',', ""'fruit"", ""'"", ',', ""'sourced"", ""'"", ',', ""'several"", ""'"", ',', ""'vineyards"", ""'"", ',', ""'area"", ""'"", ',', ""'"", ',', ""'"", ',', ""'balanced"", ""'"", ',', ""'trace"", ""'"", ',', ""'sweetness"", ""'"", ',', ""'background"", ""'"", ',', ""'"", '(', ""'"", ',', ""'"", '1', ""'"", ',', ""'"", '%', ""'"", ',', ""'residual"", ""'"", ',', ""'sugar"", ""'"", ',', ""'"", ')', ""'"", ',', ""'"", '.', ""'"", ',', ""'This"", ""'"", ',', ""'crisp"", ""'"", ',', ""'"", ',', ""'"", ',', ""'straightforward"", ""'"", ',', ""'blessed"", ""'"", ',', ""'notes"", ""'"", ',', ""'pear"", ""'"", ',', ""'lime"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Drink"", ""'"", ',', ""'cold"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;16.0;Clarksburg;Virginie Boone;Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg);Chenin Blanc;Clarksburg Wine Company
30;France;"['[', ""'Red"", ""'"", ',', ""'cherry"", ""'"", ',', ""'fruit"", ""'"", ',', ""'comes"", ""'"", ',', ""'laced"", ""'"", ',', ""'light"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", ',', ""'"", ',', ""'giving"", ""'"", ',', ""'bright"", ""'"", ',', ""'wine"", ""'"", ',', ""'open"", ""'"", ',', ""'"", ',', ""'"", ',', ""'juicy"", ""'"", ',', ""'character"", ""'"", ',', ""'"", '.', ""'"", ']']";Nouveau;86;;Beaujolais-Villages;Roger Voss;Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages);Gamay;Domaine de la Madone
31;Italy;"['[', ""'Merlot"", ""'"", ',', ""'Nero"", ""'"", ',', '``', ""d'Avola"", ""''"", ',', ""'form"", ""'"", ',', ""'base"", ""'"", ',', ""'easy"", ""'"", ',', ""'red"", ""'"", ',', ""'wine"", ""'"", ',', ""'would"", ""'"", ',', ""'pair"", ""'"", ',', ""'fettuccine"", ""'"", ',', ""'meat"", ""'"", ',', ""'sauce"", ""'"", ',', ""'pork"", ""'"", ',', ""'roast"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'quality"", ""'"", ',', ""'fruit"", ""'"", ',', ""'clean"", ""'"", ',', ""'"", ',', ""'"", ',', ""'bright"", ""'"", ',', ""'sharp"", ""'"", ',', ""'"", '.', ""'"", ']']";Calanìca Nero d'Avola-Merlot;86;;Sicilia;;Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia);Red Blend;Duca di Salaparuta
32;Italy;"['[', ""'Part"", ""'"", ',', ""'extended"", ""'"", ',', ""'Calanìca"", ""'"", ',', ""'series"", ""'"", ',', ""'"", ',', ""'"", ',', ""'Grillo-Viognier"", ""'"", ',', ""'blend"", ""'"", ',', ""'shows"", ""'"", ',', ""'aromas"", ""'"", ',', ""'honeysuckle"", ""'"", ',', ""'jasmine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'backed"", ""'"", ',', ""'touches"", ""'"", ',', ""'cut"", ""'"", ',', ""'grass"", ""'"", ',', ""'wild"", ""'"", ',', ""'sage"", ""'"", ',', ""'"", '.', ""'"", ',', ""'In"", ""'"", ',', ""'mouth"", ""'"", ',', ""'"", ',', ""'"", ',', ""'shows"", ""'"", ',', ""'ripe"", ""'"", ',', ""'yellow-fruit"", ""'"", ',', ""'flavors"", ""'"", ',', ""'"", '.', ""'"", ']']";Calanìca Grillo-Viognier;86;;Sicilia;;Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia);White Blend;Duca di Salaparuta
33;US;"['[', ""'Rustic"", ""'"", ',', ""'dry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'flavors"", ""'"", ',', ""'berries"", ""'"", ',', ""'"", ',', ""'"", ',', ""'currants"", ""'"", ',', ""'"", ',', ""'"", ',', ""'licorice"", ""'"", ',', ""'spices"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Made"", ""'"", ',', ""'Cabernet"", ""'"", ',', ""'Franc"", ""'"", ',', ""'Cabernet"", ""'"", ',', ""'Sauvignon"", ""'"", ',', ""'"", '.', ""'"", ']']";Puma Springs Vineyard;86;50.0;Dry Creek Valley;;Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley);Red Blend;Envolve
34;US;"['[', ""'This"", ""'"", ',', ""'shows"", ""'"", ',', ""'tart"", ""'"", ',', ""'"", ',', ""'"", ',', ""'green"", ""'"", ',', ""'gooseberry"", ""'"", ',', ""'flavor"", ""'"", ',', ""'similar"", ""'"", ',', ""'New"", ""'"", ',', ""'Zealand"", ""'"", ',', ""'Sauvignon"", ""'"", ',', ""'Blanc"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Other"", ""'"", ',', ""'notes"", ""'"", ',', ""'include"", ""'"", ',', ""'tropical"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'orange"", ""'"", ',', ""'honey"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Unoaked"", ""'"", ',', ""'"", ',', ""'"", ',', ""'splash"", ""'"", ',', ""'Muscat"", ""'"", ',', ""'"", ',', ""'"", ',', ""'commendable"", ""'"", ',', ""'dryness"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;20.0;Sonoma Valley;;Envolve 2011 Sauvignon Blanc (Sonoma Valley);Sauvignon Blanc;Envolve
35;US;"['[', ""'As"", ""'"", ',', ""'many"", ""'"", ',', ""'Erath"", ""'"", ',', ""'2010"", ""'"", ',', ""'vineyard"", ""'"", ',', ""'designates"", ""'"", ',', ""'"", ',', ""'"", ',', ""'strongly"", ""'"", ',', ""'herbal"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'notes"", ""'"", ',', ""'leaf"", ""'"", ',', ""'herb"", ""'"", ',', ""'create"", ""'"", ',', ""'somewhat"", ""'"", ',', ""'unripe"", ""'"", ',', ""'flavor"", ""'"", ',', ""'impressions"", ""'"", ',', ""'"", ',', ""'"", ',', ""'touch"", ""'"", ',', ""'bitterness"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'fruit"", ""'"", ',', ""'passes"", ""'"", ',', ""'ripeness"", ""'"", ',', ""'sweet"", ""'"", ',', ""'tomatoes"", ""'"", ',', ""'"", '.', ""'"", ']']";Hyland;86;50.0;McMinnville;Paul Gregutt;Erath 2010 Hyland Pinot Noir (McMinnville);Pinot Noir;Erath
36;Chile;"['[', ""'White"", ""'"", ',', ""'flower"", ""'"", ',', ""'"", ',', ""'"", ',', ""'lychee"", ""'"", ',', ""'apple"", ""'"", ',', ""'aromas"", ""'"", ',', ""'carry"", ""'"", ',', ""'mellow"", ""'"", ',', ""'bouquet"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'chunky-feeling"", ""'"", ',', ""'palate"", ""'"", ',', ""'bears"", ""'"", ',', ""'powdery"", ""'"", ',', ""'"", ',', ""'"", ',', ""'sweet"", ""'"", ',', ""'flavors"", ""'"", ',', ""'peach"", ""'"", ',', ""'melon"", ""'"", ',', ""'"", ',', ""'"", ',', ""'mixed"", ""'"", ',', ""'greener"", ""'"", ',', ""'notes"", ""'"", ',', ""'grass"", ""'"", ',', ""'lime"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'80"", ""'"", ',', ""'"", '%', ""'"", ',', ""'Viognier"", ""'"", ',', ""'component"", ""'"", ',', ""'typical"", ""'"", ',', ""'warm"", ""'"", ',', ""'climate"", ""'"", ',', ""'"", ':', ""'"", ',', ""'plump"", ""'"", ',', ""'oily"", ""'"", ',', ""'"", ',', ""'"", ',', ""'short"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Chardonnay"", ""'"", ',', ""'fills"", ""'"", ',', ""'blend"", ""'"", ',', ""'"", '.', ""'"", ']']";Estate;86;15.0;;Michael Schachner;Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley);Viognier-Chardonnay;Estampa
37;Italy;"['[', ""'This"", ""'"", ',', ""'concentrated"", ""'"", ',', ""'Cabernet"", ""'"", ',', ""'offers"", ""'"", ',', ""'aromas"", ""'"", ',', ""'cured"", ""'"", ',', ""'meat"", ""'"", ',', ""'"", ',', ""'"", ',', ""'dried"", ""'"", ',', ""'fruit"", ""'"", ',', ""'rosemary"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Barbecue"", ""'"", ',', ""'spice"", ""'"", ',', ""'teriyaki"", ""'"", ',', ""'sauce"", ""'"", ',', ""'flavors"", ""'"", ',', ""'give"", ""'"", ',', ""'wine"", ""'"", ',', ""'bold"", ""'"", ',', ""'"", ',', ""'"", ',', ""'chewy"", ""'"", ',', ""'feel"", ""'"", ',', ""'"", '.', ""'"", ']']";Missoni;86;21.0;Sicilia;;Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia);Cabernet Sauvignon;Feudi del Pisciotto
38;Italy;"['[', ""'Inky"", ""'"", ',', ""'color"", ""'"", ',', ""'"", ',', ""'"", ',', ""'wine"", ""'"", ',', ""'plump"", ""'"", ',', ""'aromas"", ""'"", ',', ""'ripe"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'blackberry"", ""'"", ',', ""'jam"", ""'"", ',', ""'rum"", ""'"", ',', ""'cake"", ""'"", ',', ""'"", '.', ""'"", ',', ""'On"", ""'"", ',', ""'palate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'soft"", ""'"", ',', ""'smooth"", ""'"", ',', ""'"", '.', ""'"", ']']";I Tratturi;86;11.0;Puglia;;Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia);Primitivo;Feudi di San Marzano
39;Italy;"['[', ""'Part"", ""'"", ',', ""'natural"", ""'"", ',', ""'wine"", ""'"", ',', ""'movement"", ""'"", ',', ""'"", ',', ""'"", ',', ""'wine"", ""'"", ',', ""'made"", ""'"", ',', ""'organic"", ""'"", ',', ""'grapes"", ""'"", ',', ""'"", ',', ""'"", ',', ""'label"", ""'"", ',', ""'printed"", ""'"", ',', ""'vegetable"", ""'"", ',', ""'ink"", ""'"", ',', ""'recycled"", ""'"", ',', ""'paper"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'quality"", ""'"", ',', ""'fruit"", ""'"", ',', ""'nice"", ""'"", ',', ""'"", ',', ""'"", ',', ""'juicy"", ""'"", ',', ""'palate"", ""'"", ',', ""'bright"", ""'"", ',', ""'berry"", ""'"", ',', ""'flavor"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";Purato Made With Organic Grapes;86;12.0;Sicilia;;Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia);Nero d'Avola;Feudo di Santa Tresa
40;Italy;"['[', ""'Catarratto"", ""'"", ',', ""'one"", ""'"", ',', ""'Sicily"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'widely"", ""'"", ',', ""'farmed"", ""'"", ',', ""'white"", ""'"", ',', ""'grape"", ""'"", ',', ""'varieties"", ""'"", ',', ""'"", '.', ""'"", ',', ""'This"", ""'"", ',', ""'expression"", ""'"", ',', ""'shows"", ""'"", ',', ""'mineral"", ""'"", ',', ""'note"", ""'"", ',', ""'"", ',', ""'"", ',', ""'backed"", ""'"", ',', ""'citrus"", ""'"", ',', ""'almond"", ""'"", ',', ""'blossom"", ""'"", ',', ""'touches"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;17.0;Sicilia;;Feudo Montoni 2011 Catarratto (Sicilia);Catarratto;Feudo Montoni
41;US;"['[', ""'"", 'A', ""'"", ',', ""'stiff"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tannic"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'slowly"", ""'"", ',', ""'opens"", ""'"", ',', ""'brings"", ""'"", ',', ""'brambly"", ""'"", ',', ""'berry"", ""'"", ',', ""'flavors"", ""'"", ',', ""'play"", ""'"", ',', ""'"", ',', ""'"", ',', ""'along"", ""'"", ',', ""'notes"", ""'"", ',', ""'earthy"", ""'"", ',', ""'herbs"", ""'"", ',', ""'"", '.', ""'"", ',', ""'There"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'touch"", ""'"", ',', ""'bitterness"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;22.0;Willamette Valley;Paul Gregutt;Hawkins Cellars 2009 Pinot Noir (Willamette Valley);Pinot Noir;Hawkins Cellars
42;France;"['[', ""'This"", ""'"", ',', ""'festive"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'soft"", ""'"", ',', ""'"", ',', ""'"", ',', ""'ripe"", ""'"", ',', ""'fruit"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", ',', ""'"", ',', ""'plus"", ""'"", ',', ""'red"", ""'"", ',', ""'berry"", ""'"", ',', ""'flavor"", ""'"", ',', ""'"", '.', ""'"", ']']";Nouveau;86;9.0;Beaujolais;Roger Voss;Henry Fessy 2012 Nouveau  (Beaujolais);Gamay;Henry Fessy
43;US;"['[', ""'The"", ""'"", ',', ""'clean"", ""'"", ',', ""'"", ',', ""'"", ',', ""'brisk"", ""'"", ',', ""'mouthfeel"", ""'"", ',', ""'gives"", ""'"", ',', ""'slightly"", ""'"", ',', ""'oaked"", ""'"", ',', ""'Sauvignon"", ""'"", ',', ""'Blanc"", ""'"", ',', ""'instant"", ""'"", ',', ""'likeability"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'dry"", ""'"", ',', ""'rich"", ""'"", ',', ""'streak"", ""'"", ',', ""'honey"", ""'"", ',', ""'sweetens"", ""'"", ',', ""'citrus"", ""'"", ',', ""'"", ',', ""'"", ',', ""'pear"", ""'"", ',', ""'tropical"", ""'"", ',', ""'fruit"", ""'"", ',', ""'flavors"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Pair"", ""'"", ',', ""'Asian"", ""'"", ',', ""'fare"", ""'"", ',', ""'"", ',', ""'"", ',', ""'ham"", ""'"", ',', ""'green"", ""'"", ',', ""'salad"", ""'"", ',', ""'grapefruit"", ""'"", ',', ""'sections"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;14.0;Paso Robles;;Robert Hall 2011 Sauvignon Blanc (Paso Robles);Sauvignon Blanc;Robert Hall
44;Chile;"['[', ""'"", 'A', ""'"", ',', ""'berry"", ""'"", ',', ""'aroma"", ""'"", ',', ""'comes"", ""'"", ',', ""'cola"", ""'"", ',', ""'herb"", ""'"", ',', ""'notes"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'tangy"", ""'"", ',', ""'racy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'delivers"", ""'"", ',', ""'raspberry"", ""'"", ',', ""'plum"", ""'"", ',', ""'flavors"", ""'"", ',', ""'"", ',', ""'"", ',', ""'modest"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;9.0;;Michael Schachner;Sundance 2011 Merlot (Maule Valley);Merlot;Sundance
45;US;"['[', ""'Right"", ""'"", ',', ""'starting"", ""'"", ',', ""'blocks"", ""'"", ',', ""'oaky"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'dripping"", ""'"", ',', ""'caramel"", ""'"", ',', ""'vanilla"", ""'"", ',', ""'notes"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'texture"", ""'"", ',', ""'midpalate"", ""'"", ',', ""'finessed"", ""'"", ',', ""'graceful"", ""'"", ',', ""'"", ',', ""'"", ',', ""'drying"", ""'"", ',', ""'tannins"", ""'"", ',', ""'latch"", ""'"", ',', ""'onto"", ""'"", ',', ""'oak-driven"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ',', ""'An"", ""'"", ',', ""'eccentric"", ""'"", ',', ""'blend"", ""'"", ',', ""'50"", ""'"", ',', ""'"", '%', ""'"", ',', ""'Tannat"", ""'"", ',', ""'"", ',', ""'"", ',', ""'35"", ""'"", ',', ""'"", '%', ""'"", ',', ""'Petit"", ""'"", ',', ""'Verdot"", ""'"", ',', ""'15"", ""'"", ',', ""'"", '%', ""'"", ',', ""'Pinotage"", ""'"", ',', ""'"", '.', ""'"", ']']";#SocialSecret;86;40.0;Virginia;;Tarara 2010 #SocialSecret Red (Virginia);Red Blend;Tarara
46;Italy;"['[', ""'Spicy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'fresh"", ""'"", ',', ""'clean"", ""'"", ',', ""'"", ',', ""'"", ',', ""'would"", ""'"", ',', ""'pair"", ""'"", ',', ""'fried"", ""'"", ',', ""'seafood"", ""'"", ',', ""'spaghetti"", ""'"", ',', ""'con"", ""'"", ',', ""'vongole"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', ""'offers"", ""'"", ',', ""'pretty"", ""'"", ',', ""'citrus"", ""'"", ',', ""'tones"", ""'"", ',', ""'followed"", ""'"", ',', ""'drying"", ""'"", ',', ""'mineral"", ""'"", ',', ""'nuance"", ""'"", ',', ""'"", '.', ""'"", ']']";Sallier de la Tour;86;13.0;Sicilia;;Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia);Inzolia;Tasca d'Almerita
47;US;"['[', ""'This"", ""'"", ',', ""'sweet"", ""'"", ',', ""'wine"", ""'"", ',', ""'flavors"", ""'"", ',', ""'white"", ""'"", ',', ""'sugar"", ""'"", ',', ""'"", ',', ""'"", ',', ""'orange"", ""'"", ',', ""'"", ',', ""'"", ',', ""'honey"", ""'"", ',', ""'vanilla"", ""'"", ',', ""'"", ',', ""'"", ',', ""'brightened"", ""'"", ',', ""'crisp"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;13.0;Lake County;;The White Knight 2011 Riesling (Lake County);Riesling;The White Knight
48;US;"['[', ""'This"", ""'"", ',', ""'bottling"", ""'"", ',', ""'resembles"", ""'"", ',', ""'New"", ""'"", ',', ""'Zealand"", ""'"", ',', ""'paradigm"", ""'"", ',', ""'Sauvignon"", ""'"", ',', ""'Blanc"", ""'"", ',', ""'"", ',', ""'"", ',', ""'bearing"", ""'"", ',', ""'aromas"", ""'"", ',', ""'grapefruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'passion"", ""'"", ',', ""'fruit"", ""'"", ',', ""'kiwi"", ""'"", ',', ""'"", ';', ""'"", ',', ""'sprinkling"", ""'"", ',', ""'graham"", ""'"", ',', ""'cracker"", ""'"", ',', ""'adds"", ""'"", ',', ""'interest"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'wine"", ""'"", ',', ""'hits"", ""'"", ',', ""'palate"", ""'"", ',', ""'like"", ""'"", ',', ""'fleshy"", ""'"", ',', ""'fist"", ""'"", ',', ""'"", ',', ""'"", ',', ""'intense"", ""'"", ',', ""'"", ',', ""'"", ',', ""'grassy"", ""'"", ',', ""'gooseberry"", ""'"", ',', ""'flavor"", ""'"", ',', ""'provides"", ""'"", ',', ""'plenty"", ""'"", ',', ""'punch"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Pair"", ""'"", ',', ""'apricot-glazed"", ""'"", ',', ""'roasted"", ""'"", ',', ""'chicken"", ""'"", ',', ""'"", '.', ""'"", ']']";;86;16.0;Monticello;;Trump 2011 Sauvignon Blanc (Monticello);Sauvignon Blanc;Trump
49;France;"['[', ""'Soft"", ""'"", ',', ""'fruity"", ""'"", ',', ""'"", ',', ""'"", ',', ""'generous"", ""'"", ',', ""'"", ',', ""'"", ',', ""'ripe"", ""'"", ',', ""'wine"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'full"", ""'"", ',', ""'juicy"", ""'"", ',', ""'red-cherry"", ""'"", ',', ""'fruits"", ""'"", ',', ""'gentle"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', ""'richness"", ""'"", ',', ""'"", ',', ""'"", ',', ""'giving"", ""'"", ',', ""'sweet"", ""'"", ',', ""'character"", ""'"", ',', ""'open"", ""'"", ',', ""'"", ',', ""'"", ',', ""'ready-to-drink"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", '.', ""'"", ']']";Eté Indien;86;14.0;Brouilly;Roger Voss;Vignerons de Bel Air 2011 Eté Indien  (Brouilly);Gamay;Vignerons de Bel Air
50;Italy;"['[', ""'This"", ""'"", ',', ""'blend"", ""'"", ',', ""'Nero"", ""'"", ',', '``', ""d'Avola"", ""''"", ',', ""'Syrah"", ""'"", ',', ""'opens"", ""'"", ',', ""'savory"", ""'"", ',', ""'aromas"", ""'"", ',', ""'cured"", ""'"", ',', ""'meat"", ""'"", ',', ""'"", ',', ""'"", ',', ""'dried"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'cassis"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tobacco"", ""'"", ',', ""'wet"", ""'"", ',', ""'earth"", ""'"", ',', ""'"", '.', ""'"", ',', ""'There"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'touch"", ""'"", ',', ""'almond"", ""'"", ',', ""'bitterness"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";Scialo;86;;Sicilia;;Viticultori Associati Canicatti 2008 Scialo Red (Sicilia);Red Blend;Viticultori Associati Canicatti
